name,min price,max price,avg price
गोलभेडा ठूलो(नेपाली),50.00,60.00,55.00
गोलभेडा ठूलो(भारतीय),50.00,60.00,56.67
गोलभेडा सानो(लोकल),40.00,45.00,42.50
गोलभेडा सानो(भारतीय),45.00,50.00,47.50
गोलभेडा सानो(तराई),50.00,60.00,55.00
आलु रातो,28.00,30.00,29.00
आलु रातो(भारतीय),28.00,30.00,29.00
आलु सेतो,22.00,25.00,23.67
प्याज सुकेको (भारतीय),34.00,36.00,34.75
गाजर(लोकल),60.00,70.00,65.00
बन्दा(लोकल),12.00,16.00,14.00
काउली स्थानिय,50.00,60.00,55.00
स्थानीय काउली(ज्यापु),60.00,70.00,65.00
मूला सेतो(लोकल),15.00,20.00,17.60
सेतो मूला(हाइब्रीड),20.00,25.00,22.40
भन्टा लाम्चो,40.00,50.00,45.00
भन्टा डल्लो,50.00,60.00,55.00
बोडी(तने),80.00,90.00,86.00
मकै बोडी,90.00,100.00,96.67
मटरकोशा,70.00,80.00,76.67
घिउ सिमी(लोकल),50.00,60.00,55.00
घिउ सिमी(हाइब्रीड),70.00,80.00,76.67
भटमासकोशा,110.00,130.00,120.00
तितो करेला,40.00,50.00,45.00
लौका,40.00,50.00,45.00
परवर(लोकल),70.00,80.00,75.00
परवर(तराई),70.00,80.00,76.67
चिचिण्डो,50.00,60.00,55.00
घिरौला,40.00,50.00,45.00
झिगूनी,70.00,80.00,76.67
फर्सी पाकेको,45.00,50.00,47.50
हरियो फर्सी(डल्लो),50.00,60.00,55.00
सलगम,70.00,80.00,76.67
भिण्डी,90.00,100.00,96.00
स्कूस,40.00,50.00,45.00
रायो साग,40.00,50.00,45.00
पालूगो साग,100.00,120.00,110.00
चमसूरको साग,100.00,120.00,110.00
तोरीको साग,40.00,50.00,45.00
मेथीको साग,90.00,100.00,96.67
प्याज हरियो,50.00,60.00,56.67
च्याउ(कन्य),140.00,180.00,160.00
च्याउ(डल्ले),400.00,450.00,425.00
कुरीलो,300.00,350.00,333.33
न्यूरो,70.00,80.00,76.67
ब्रोकाउली,100.00,120.00,110.00
चुकुन्दर,70.00,80.00,76.67
सजिवन,70.00,80.00,76.67
रातो बन्दा,40.00,50.00,46.67
जिरीको साग,80.00,90.00,86.67
ग्याठ कोबी,70.00,80.00,76.67
सेलरी,150.00,200.00,183.33
पार्सले,150.00,200.00,175.00
सौफको साग,90.00,100.00,96.67
पुदीना,150.00,200.00,175.00
गान्टे मूला,70.00,80.00,76.67
इमली,150.00,160.00,156.67
तामा,90.00,100.00,96.67
तोफु,120.00,140.00,130.00
गुन्दुक,250.00,300.00,275.00
स्याउ(फूजी),250.00,300.00,275.00
केरा,130.00,150.00,140.00
कागती,220.00,250.00,24.00
अनार,250.00,300.00,283.33
आँप(दसहरी),220.00,250.00,235.00
अंगुर(हरियो),130.00,150.00,140.00
अंगुर(कालो),300.00,320.00,310.00
सुन्तला(भारतीय),140.00,150.00,145.00
तरबुजा(हरियो),35.00,40.00,38.33
तरबुजा(पाटे),35.00,40.00,38.33
मौसम,150.00,180.00,165.00
जुनार,200.00,220.00,210.00
भुई कटहर,150.00,180.00,170.00
काक्रो(लोकल),110.00,120.00,116.00
काक्रो(हाइब्रीड),60.00,70.00,66.67
रुख कटहर,70.00,80.00,75.00
नासपाती(चाइनिज),250.00,300.00,275.00
मेवा(नेपाली),60.00,70.00,66.67
मेवा(भारतीय),80.00,90.00,86.67
